,tag_id,tag
717,724,happy
720,727,vocal
721,728,rock en espanol
723,730,love at first listen
728,735,70s
730,737,great lyrics
731,738,nu-metal
734,741,grindcore
735,742,brutal death metal
736,743,technical death metal
743,750,post hardcore
750,757,indie folk
751,758,instrumental hip-hop
755,762,not emo
759,766,holiday soundtrack
764,771,underrated
767,774,amazing voice
773,780,legends
774,781,2010
777,784,american idol
782,789,2010s
785,792,1980s
786,793,fucking awesome
787,794,play this loud enough to raise the dead
788,795,haunting
790,797,masterpiece
792,799,genius
794,801,hypnotic
807,814,perfection
814,821,post rock
816,823,brasil
817,824,mellow
818,825,relaxing
819,826,chill
821,828,finnish
822,829,blues
823,830,guitar
824,831,the best
828,835,nostalgia
829,836,dreamy
832,839,sad
835,842,piano rock
837,844,sensual
840,847,female vocal
841,848,hair metal
842,849,riot grrrl
843,850,cover
846,853,celtic
848,855,new rave
863,870,dnb
878,885,fav songs
880,887,new wave songs
882,889,fav artists
884,891,synthpop songs
885,892,1982 songs
888,895,british artists
889,896,1981 songs
890,897,new wave artists
892,899,1983 songs
894,901,1984 songs
900,907,synthpop artists
911,918,american artists
928,935,lo-fi
929,936,mariah carey
948,955,favourite
949,956,the beowulfs choice
950,957,scholes song
951,958,the pedofinder general
952,959,po-kraftwerkski
953,960,my pleasuredome
954,961,zadrotstvo
955,962,my fav fun
956,963,touching song
957,964,ogonj
971,978,opera
982,989,duet
984,991,musical
989,996,korean
999,1006,mathcore
1010,1017,math rock
1016,1023,1992
1017,1024,1988
1018,1025,1990
1023,1030,1986
1025,1032,1991
1032,1039,1997
1033,1040,1996
1034,1041,2005
1037,1044,1995
1041,1048,1981
1067,1074,rhythm and blues
1069,1076,rock n roll
1072,1079,trancecore
1073,1080,mexico
1076,1083,dirty south
1077,1084,2006
1079,1086,female voices
1080,1087,justin timberlake
1089,1096,chill zone
1090,1097,covers
1091,1098,miserable
1092,1099,christmas blend
1093,1100,rain
1094,1101,morning
1095,1102,duets
1100,1107,avant garde
1129,1136,bass
1145,1159,deep
1184,1198,dreampop
1194,1208,8-bit
1196,1210,southern rock
1198,1212,favourite artists
1205,1219,jrock
1208,1222,hardcore punk
1209,1223,marisa mix
1214,1228,guitar solo
1223,1237,2009
1224,1238,2007
1233,1247,rock gaucho
1234,1248,rio grande do sul
1235,1249,powerpop
1238,1252,christian
1250,1264,breakcore
1259,1273,breakbeat
1264,1278,crossover
1272,1286,glam metal
1288,1302,composer
1302,1316,jpop
1308,1322,post-metal
1309,1323,grime
1330,1344,harmonica blues
1334,1348,great song
1337,1351,vocal trance
1338,1352,love songs
1339,1353,scottish
1340,1354,soft rock
1341,1355,christmas
1342,1356,50s
1343,1357,eurodance
1344,1358,post-grunge
1351,1365,female fronted metal
1352,1366,freestyle
1354,1368,funny
1358,1372,folk metal
1359,1373,viking metal
1373,1387,country rock
1409,1423,humor
1410,1424,drugs
1412,1426,quirky
1416,1430,big beat
1420,1434,the beatles
1431,1445,emotional
1433,1447,remix
1441,1455,dancehall
1455,1469,minimal techno
1464,1478,goth
1475,1489,fav female singers
1478,1492,relax
1481,1495,sex
1491,1505,preferidas
1500,1530,breathtaking
1502,1532,symphonic black metal
1504,1534,indietronica
1508,1538,art rock
1509,1539,melodic hardcore
1520,1550,seventies
1524,1554,romantica
1563,1593,popular
1583,1613,bitch
1597,1627,bossa nova
1604,1634,modern country
1610,1640,samba
1612,1642,excellent reason for crying
1616,1646,just makes you feel good
1641,1671,summer song
1650,1680,faves
1652,1682,technical metal
1654,1684,horrorpunk
1692,1722,hard
1697,1727,glam
1704,1734,neo-soul
1705,1735,club
1706,1737,krautrock
1722,1753,cute
1723,1754,male vocalist
1736,1767,country ladies
1740,1771,kickass
1755,1790,retro
1761,1796,smooth jazz
1762,1797,powerful
1777,1812,noise pop
1798,1833,ninja tune
1799,1834,nu-jazz
1800,1835,beats
1803,1842,math metal
1804,1843,russian alternative
1806,1845,horror punk
1807,1846,chillwave
1808,1847,manchester
1819,1858,england
1820,1859,post punk
1831,1870,funky
1841,1880,one tree hill
1843,1882,favorite song
1847,1886,fucking amazing
1850,1889,progressive death metal
1872,1911,cool
1904,1943,poetry
1912,1951,70's
1913,1952,00's
1916,1955,90's
1917,1956,demo
1925,1964,bouncy
1926,1965,dance music
1927,1966,all time hit
1928,1967,sing along
1929,1968,male and female
1930,1969,dance 90s
1931,1970,male
1933,1972,dance 00s
1934,1973,house music
1936,1975,90s dance
1956,1995,icelandic
1967,2006,duran duran
1982,2021,melodic metalcore
2016,2056,pop-punk
2024,2064,alt-country
2028,2068,irish
2047,2087,depressive black metal
2051,2091,true black metal
2052,2092,norwegian black metal
2075,2115,acoustic rock
2078,2118,americana
2097,2137,i am canadian
2098,2138,first-rate and free
2099,2139,halloween
2100,2140,rock hard
2101,2141,my indie friends
2102,2142,songs for gil
2103,2143,my angular favourites
2126,2166,eclectic
2151,2191,college rock
2152,2192,album rock
2156,2196,new discovery
2157,2197,alternative dance
2159,2199,british punk
2160,2200,adult contemporary
2164,2204,experimental rock
2168,2208,british invasion
2169,2209,arena rock
2173,2213,beatdown
2175,2215,russian rock
2177,2217,straight edge
2193,2233,twee
2204,2244,space rock
2206,2246,underground hip-hop
2232,2272,progressive house
2248,2288,under 2000 listeners
2295,2336,favorite artist
2303,2349,sweet
2316,2362,dream
2331,2377,european
2334,2380,favorite artists
2338,2384,downbeat
2339,2385,abstract hip-hop
2384,2430,good
2412,2458,deep house
2443,2489,video game music
2449,2495,thrash
2465,2511,crazy
2474,2520,best songs ever
2479,2525,nu jazz
2488,2534,free jazz
2502,2548,heavy
2528,2575,obscure
2561,2608,japan
2562,2609,freak folk
2563,2610,new weird america
2589,2638,boybands
2591,2640,beast
2611,2660,hello project
2643,2692,nintendocore
2651,2700,best
2677,2726,favorite songs
2703,2752,fantastic
2717,2766,acoustic guitar
2734,2784,france
2735,2785,nice
2755,2805,single
2756,2806,divas
2774,2824,violin
2800,2850,better than lady gaga
2837,2887,energetic
2842,2892,psychill
2888,2938,twilight
2958,3008,good stuff
2998,3048,chanson francaise
3011,3061,orchestral
3047,3097,warp
3106,3173,tyler adam
3107,3174,brandy
3108,3175,harmonies
3109,3176,timbaland
3110,3177,missy elliott
3111,3178,tweet
3112,3179,aaliyah
3113,3180,kiley dean
3114,3181,contemporary rnb
3115,3182,mya
3116,3183,nelly furtado
3117,3184,ginuwine
3118,3185,monica
3119,3186,kelly rowland
3120,3187,janet jackson
3121,3188,bubba sparxxx
3140,3210,women
3164,3234,flamenco
3172,3242,sick
3174,3244,acid
3182,3252,crunk
3189,3259,symphonic prog
3205,3275,world fusion
3240,3310,jazzy
3263,3333,danish
3273,3343,melodic black metal
3305,3375,memories
3425,3496,artists
3436,3507,brazilian rock
3463,3534,tight
3464,3535,new york shit
3465,3536,phat
3466,3537,the truth
3467,3538,real talk
3468,3539,good shit
3469,3540,ill
3470,3541,the good stuff
3471,3542,great lyricists
3472,3543,solid
3474,3545,poignant
3476,3547,neat
3478,3549,real hip-hop
3479,3550,fiya
3480,3551,banger
3481,3552,superb
3483,3554,dope cut
3484,3555,east coast rap
3486,3557,witty
3487,3558,lyricism
3488,3559,assertive
3489,3560,mean
3501,3572,loved
3506,3577,turkish
3515,3586,contemporary classical
3517,3588,u2
3526,3597,russia
3527,3599,pagan
3528,3600,1969
3533,3605,favourite songs
3537,3609,harmonica
3559,3631,us
3579,3651,lostfreeq
3580,3652,new beat
3581,3653,chef musinum
3585,3657,independent
3586,3658,jean marc toma
3601,3673,ultimate favorite
3628,3700,finnish metal
3634,3706,true norwegian black metal
3703,3775,2000s
3707,3779,novelty
3718,3790,fave songs ever
3735,3807,blue
3738,3810,jesus
3756,3828,goddesses
3757,3829,straight up modern rock
3762,3834,britrock
3797,3869,songs i absolutely love
3810,3882,tags
3811,3883,as
3853,3925,rocksteady
3854,3926,psicodelia
3898,3970,lol
3978,4052,brazilian music
4005,4079,motown
4028,4102,4ad
4042,4116,latin rock
4067,4141,old
4151,4258,barrelhouse covers
4154,4261,delta blues
4156,4263,chicago blues
4166,4273,bebop
4176,4283,let's dance
4182,4289,songs ive obsessed over
4193,4300,sexy songs
4221,4328,friends
4233,4340,surf rock
4249,4356,favorite bands
4287,4397,political
4301,4411,charmed
4320,4430,classic country
4334,4449,90210
4408,4523,1990s
4415,4530,post-punk revival
4432,4549,worship
4488,4605,shoegazer
4496,4613,politeconomist realife soundtrack
4503,4620,summer time
4560,4679,japanese music
4590,4711,random songs
4599,4720,hooooooooot
4600,4721,powerful voice
4653,4774,the oc
4726,4847,my fav songs
4776,4897,b-side
4801,4922,1970's
4802,4923,1980's
4805,4926,approved by goku
4807,4928,approved by prince vegeta
4817,4938,my favorites
4823,4944,top 20
4831,4952,oui fm
4832,4953,80s metal
4834,4955,1008
4835,4956,guerilla
4888,5009,rockville ca
4889,5010,playlist
4953,5076,nasheed
4981,5104,jamaica
5070,5193,german hiphop
5091,5217,guys i would fuck
5130,5258,2003
5157,5286,the vampire diaries
5193,5322,james bond
5200,5329,anti-folk
5367,5532,baixar
5422,5632,spanish metal
5483,5693,african
5484,5694,africa
5530,5740,watched live
5568,5778,minimalism
5608,5818,4m4zinq
5609,5819,f4nt4stic
5725,5939,80s hardcore
5815,6049,female artists
5890,6128,phoda
5924,6162,hip hop/rap
5932,6170,descoperiri
5933,6171,aana
5934,6172,special
6015,6253,animals
6018,6256,wonderful through headphones
6063,6304,my favorite
6118,6363,turkce
6198,6444,coisa de deus
6199,6445,post modern
6204,6450,handclaps
6224,6482,skins soundtrack
6225,6483,complete sentences
6296,6573,sufi
6299,6576,saxophone
6351,6628,barkbarkdisco
6352,6629,bark
6368,6645,new country
6486,6763,prejebeno
6517,6794,cities
6518,6795,colors
6519,6796,transport
6520,6797,girls names
6521,6798,numbers
6547,6824,electric blues
6617,6900,title is a full sentence
6644,6928,aussie
6649,6934,favourite bands
6691,6976,i love this song
6881,7188,approfondire
6944,7252,berep shows the love
6945,7253,check
6947,7255,mistagged track
6948,7256,berep guest dj closedmouth 239645
6978,7286,prog metal
7025,7334,ottoman
7157,7474,guitar blues
7269,7587,frauen und technik
7321,7640,top christian
7322,7641,diego 12
7323,7642,jesus 12
7324,7643,diego
7325,7644,adoracao
7465,7797,slowies
7468,7800,edit
7469,7801,song with samples
7529,7865,jamaican
7558,7894,good mood music
7559,7895,good mood songs
7599,7937,pop singles
7600,7938,pop covers
7656,7995,eldad
7657,7996,for work
7663,8002,drive
7676,8015,europe
7707,8048,driving music
7711,8052,better than metallica
7720,8061,cool as
7767,8116,turkish rock
7799,8161,good bands
7834,8235,1966
7835,8236,1965
7836,8237,1967
7837,8238,1964
7838,8239,1968
7899,8300,good old times
7900,8301,lpa
7901,8302,great memories with my siss
7902,8303,tbu
7903,8304,oh so catchy
7904,8305,great memories with my geeem
7905,8306,songs that remind me of summer 07-08
7906,8307,these songs are just amazing
7907,8308,great moments at et7
7908,8309,songs i sing with my mom
7909,8310,viaje de egresados
7990,8392,ich liebe dich
7995,8397,jams
8048,8450,redone
8060,8462,lastfm
8093,8497,all the best
8094,8498,best songs of the 00s
8095,8499,best songs of the 90s
8096,8500,best songs of the 80s
8097,8501,best songs of the 70s
8098,8502,best songs of the 60s
8099,8503,best christmas songs
8100,8504,best songs of the 50s
8101,8505,the best classical opera and film scores
8102,8506,oscar winning songs
8104,8508,best songs in the world
8112,8516,raven girls top 20
8163,8572,bad day
8164,8573,life on mars
8260,8670,iron jesus
8301,8711,riot grrl
8315,8728,bi daha dinlicem
8402,8826,late night tunes
8471,8899,instrumental blues
8727,9182,sxsw2006
8737,9192,boyband
8807,9262,80s i like
8923,9425,deep-clash
8925,9427,in the witch house family
8927,9429,dark disco
8928,9430,anti-witch house
8929,9431,deepclash
8930,9432,broken-clash
8931,9433,in the chillwave family
8969,9471,0 play yet
8970,9472,cesar
8971,9473,rafa
9135,9639,arkadi
9136,9640,bazarov
9218,9727,vocalista feminimo
9235,9745,makes me wanna dance
9248,9763,singalong
9249,9764,i am in love with this song
9250,9765,hyper
9302,9817,indie luv
9303,9818,neon space
9304,9819,my electro feelings
9305,9820,idolo
9306,9821,inlove
9307,9822,remember him
9308,9823,rock me babe
9309,9824,i love my dad taste
9310,9825,just chillin
9311,9826,hoy tengo ganas de llorar
9312,9827,i want to dance in my underwear
9313,9828,q sexy
9314,9829,es pop mama
9424,9945,fave
9431,9952,totalmente foda
9451,9972,dance - trance
9568,10092,blitz playlist
9586,10110,psychosis
9587,10111,tron
9614,10138,tech - prog death
9678,10212,musikfuerrundumdieuhr
9696,10230,listened more than 10 times in a row
9820,10362,rhythmalizm
9821,10363,rhymez
9946,10490,bliss
9987,10532,wish list
9988,10533,recos
9989,10534,alsolike
9992,10537,top100
10014,10559,ohmydamn
10040,10585,jukebox project
10042,10587,tambourine
10132,10691,triple j
10133,10692,beautiful music
10827,11439,lefties
10828,11440,anarchist
10855,11469,myfavoritesongs
10883,11499,leftovergrooves
10984,11614,wicked women
11061,11691,egzamin
11108,11738,mine
11126,11757,film music composer
11160,11791,not-emo
11161,11792,songs to download later
11167,11798,yay
11236,11877,awesome-ness
11237,11878,the songs that make me sick with butterflies
11238,11879,hand claps
11288,11933,girlamazing
11289,11934,heartbroke
11311,11956,jet set radio future
11367,12021,weekly top tracks
11368,12022,weekly top artists
11372,12026,hecho en mexico
11373,12027,cocksucker
11375,12029,tinosoft
11387,12041,todaysart
11433,12092,fascinating
11548,12208,new wave and eighties
11549,12209,other great tracks
11558,12218,vfsix
11559,12219,launge
11560,12220,light trip-hop
11605,12265,favorite bands and artists
11627,12287,melrose place
11628,12288,pretty little liars
11935,12638,ezbeni
11936,12639,winds of soul
11939,12642,gluhie 90e
